VIDEO_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM
이상한_과자가게__weird_sweets_shop_20250731,고딩 때 마카롱 들고..농구선수 쫓아다녔던 이야기,#쇼츠 #shorts,이상한 과자가게  weird sweets shop,2025-07-31,PT1M,1135467,21677,240,youtube
이상한_과자가게__weird_sweets_shop_20250730,밥투정 부리는 딸래미에게.. 엄마의 뒤끝?!,#장스푸드 #스텔라떡볶이 #냉떡볶이 #쇼츠 #shorts,이상한 과자가게  weird sweets shop,2025-07-30,PT58S,1192664,18696,104,youtube
이상한_과자가게__weird_sweets_shop_20250728,1000만 조회수 나온 김치영상에 대한 해명(?),#쇼츠 #shorts,이상한 과자가게  weird sweets shop,2025-07-28,PT1M,1860060,27321,621,youtube
이상한_과자가게__weird_sweets_shop_20250725,유명 셰프님의 음식을 따라만들면 생기는 일?!,🍗 이건 진짜 격이 다르다… 중식여왕 정지선 셰프와 푸라닭의 만남🔥  👉 글레이즈드 코팅으로 겉바속촉 + 바삭한 향취고추&볶음 땅콩까지 밸런스 완벽  🍺 “깐맥” 부르는 맛! 치킨 한 입 → 토핑 한 입 → 맥주 각이죠?  #일품깐풍 #푸라닭 #정지선셰프,이상한 과자가게  weird sweets shop,2025-07-25,PT42S,587255,9215,148,youtube
이상한_과자가게__weird_sweets_shop_20250724,오빠가 삼배체굴을 까준다길래 믿었는데..,#쇼츠 #shorts,이상한 과자가게  weird sweets shop,2025-07-24,PT55S,1699345,29329,460,youtube
이상한_과자가게__weird_sweets_shop_20250723,유명 유튜버님이 출시한 소시지.. 첫 입 먹고 당황했네요,#쇼츠 #shorts #커리부어스트소시지 #육식맨소시지,이상한 과자가게  weird sweets shop,2025-07-23,PT53S,2500117,39933,329,youtube
이상한_과자가게__weird_sweets_shop_20250722,AI유리과일 썰기..이거 맞잖아요. 그쵸?,#쇼츠 #shorts #ai #ai과일,이상한 과자가게  weird sweets shop,2025-07-22,PT1M,4517589,66273,715,youtube
이상한_과자가게__weird_sweets_shop_20250721,국물 없으면 밥 안먹던 자취생 시절,"복날에 아무도 나를 안챙겨준다구요?! 저도요… 그래서 한촌 설렁탕 시켜먹었습니다. 여러분도 몸보신 ㄱㄱ!!!  📍이상한과자가게x한촌 집에서 편하게 배달로 즐기자 🙌 🎁 배민, 쿠팡이츠 앱에서 한촌설렁탕 쿠폰(1,000원) 받기  🎁 전국 매장은 복날 할인 행사 진행 중! ⚠ 일부 매장은 행사 제외될 수 있습니다.  #한촌설렁탕 #갈비탕 #설렁탕",이상한 과자가게  weird sweets shop,2025-07-21,PT49S,765701,8936,162,youtube
이상한_과자가게__weird_sweets_shop_20250720,유행하는 간식은 이유가 있구나…?(나도 처음 먹어봄),#쇼츠 #shorts,이상한 과자가게  weird sweets shop,2025-07-20,PT1M,1511231,25418,275,youtube
이상한_과자가게__weird_sweets_shop_20250719,갑자기 8만원짜리 쏘가리 매운탕 먹으러 가자는 남자친구,#쇼츠 #shorts,이상한 과자가게  weird sweets shop,2025-07-19,PT59S,5452787,46570,736,youtube
